gene	source
CYP2D6	DGIdb
PPARG	DGIdb
ATAD5	DGIdb
RGS4	DGIdb
MAPK1	DGIdb
AGTR1	DGIdb
KDR	DGIdb
PARP1	DGIdb
NUDT2	DGIdb
DTNB	DGIdb
F10	DGIdb
RYR3	DGIdb
KIT	DGIdb
CCL4	DGIdb
CSF2	DGIdb
BAZ2B	DGIdb
JUN	DGIdb
EHMT2	DGIdb
CSNK2A3	DGIdb
ADRB1	DGIdb
SCN10A	DGIdb
AQP1	DGIdb
FGFR3	DGIdb
ADRB3	DGIdb
PLG	DGIdb
KCND3	DGIdb
RPL28	DGIdb
ESR1	DGIdb
POLK	DGIdb
GPR55	DGIdb
HIF1A	DGIdb
DRD2	DGIdb
ANXA2P1	DGIdb
PRMT1	DGIdb
FGFR1	DGIdb
HDAC9	DGIdb
NR3C1	DGIdb
RAB40B	DGIdb
CACNA1D	DGIdb
NR1H4	DGIdb
SMAD3	DGIdb
CSF1R	DGIdb
CAMK2D	DGIdb
IL6R	DGIdb
RPS6KB1	DGIdb
HIPK4	DGIdb
NSD2	DGIdb
CYP2C9	DGIdb
PTGS1	DGIdb
AQP3	DGIdb
AVPR1A	DGIdb
HMGCR	DGIdb
KDM4A	DGIdb
CD274	DGIdb
GCNT2	DGIdb
PAK4	DGIdb
ERBB2	DGIdb
ASAH1	DGIdb
GRIN2D	DGIdb
EDN1	DGIdb
KLK3	DGIdb
LEP	DGIdb
KAT2A	DGIdb
RAD52	DGIdb
PPARD	DGIdb
CRHR2	DGIdb
GABRP	DGIdb
CD8B	DGIdb
MAP2K2	DGIdb
FPR1	DGIdb
CFTR	DGIdb
PTK2B	DGIdb
C10ORF67	DGIdb
MAP2K1	DGIdb
GLP1R	DGIdb
PIK3R6	DGIdb
RARG	DGIdb
BTK	DGIdb
IGF1R	DGIdb
MDM2	DGIdb
TERT	DGIdb
EGFR	DGIdb
ALK	DGIdb
FEN1	DGIdb
SMN2	DGIdb
CYP3A4	DGIdb
CTRB1	DGIdb
CCR3	DGIdb
SLC10A2	DGIdb
VWF	DGIdb
MAPK12	DGIdb
TUBA1B	DGIdb
CACNA1H	DGIdb
ANGPT2	DGIdb
HRAS	DGIdb
MRPL36	DGIdb
ATXN2	DGIdb
CYP1A2	DGIdb
ADRA1D	DGIdb
COX8A	DGIdb
ADRA1A	DGIdb
CD4	DGIdb
USP1	DGIdb
CHKA	DGIdb
GABRG1	DGIdb
SLC25A6	DGIdb
APLP1	DGIdb
NCSTN	DGIdb
IL6	DGIdb
VDR	DGIdb
MAPT	DGIdb
PLCG2	DGIdb
ITGB5	DGIdb
ABL2	DGIdb
RND3	DGIdb
CXCL12	DGIdb
GATA3	DGIdb
GABRE	DGIdb
SOD2	DGIdb
ADRB2	DGIdb
FYN	DGIdb
ADRA2A	DGIdb
CHRM1	DGIdb
YWHAE	DGIdb
AZF1	DGIdb
CXCR4	DGIdb
HTR2B	DGIdb
CD8B2	DGIdb
NATP	DGIdb
AADAC	DGIdb
BBS1	DGIdb
ABCC6	DGIdb
TAC1	DGIdb
HTR1A	DGIdb
RPL35	DGIdb
KCNH2	DGIdb
ALOX15	DGIdb
A12M3	DGIdb
CDK20	DGIdb
GABRR2	DGIdb
GABRA2	DGIdb
GCNT1	DGIdb
BRAF	DGIdb
MAOA	DGIdb
OPRK1	DGIdb
NFKB1	DGIdb
LPAR1	DGIdb
PDGFRB	DGIdb
GUCA2A	DGIdb
HTR1D	DGIdb
ABCC1	DGIdb
A12M4	DGIdb
KCNQ1	DGIdb
TRDMT1	DGIdb
APAF1	DGIdb
RPS10	DGIdb
DNER	DGIdb
ABCA2	DGIdb
SLCO1B3	DGIdb
HSP90B2P	DGIdb
ARSL	DGIdb
ADRA1B	DGIdb
ELAVL2	DGIdb
BNIP3	DGIdb
BARD1	DGIdb
AR	DGIdb
MET	DGIdb
TYRO3	DGIdb
MAPK11	DGIdb
TGM2	DGIdb
MMP2	DGIdb
HRH1	DGIdb
A1BG	DGIdb
GATM	DGIdb
BTNL1	DGIdb
TUBB6	DGIdb
DLL4	DGIdb
TNIK	DGIdb
PSMA2	DGIdb
NR3C2	DGIdb
ITGA2B	DGIdb
PRKACA	DGIdb
TOP2A	DGIdb
DDIT3	DGIdb
SLC6A4	DGIdb
SLC23A1	DGIdb
CHRM4	DGIdb
PTEN	DGIdb
NFE2L2	DGIdb
GRIA1	DGIdb
IMPDH2	DGIdb
NMUR2	DGIdb
HCN4	DGIdb
CYP2C19	DGIdb
TNF	DGIdb
SYK	DGIdb
KCNJ11	DGIdb
RPSA	DGIdb
CHRNB2	DGIdb
DHCR24	DGIdb
USP2	DGIdb
BLM	DGIdb
APOB	DGIdb
OSM	DGIdb
HSD17B10	DGIdb
YES1	DGIdb
GRIK2	DGIdb
HSD3B1	DGIdb
FOS	DGIdb
ABR	DGIdb
DHFR	DGIdb
GABRA5	DGIdb
KEAP1	DGIdb
IFNL3	DGIdb
GPC3	DGIdb
CXCL8	DGIdb
HSP90AA1	DGIdb
PIK3R5	DGIdb
SFTPA1	DGIdb
DCR	DGIdb
GBA1	DGIdb
PIK3CA	DGIdb
CAV1	DGIdb
ADM	DGIdb
TSHR	DGIdb
SIRT3	DGIdb
BDNF	DGIdb
PTAFR	DGIdb
GHSR	DGIdb
MUC1	DGIdb
IDH1	DGIdb
NQO1	DGIdb
PARP2	DGIdb
HPGD	DGIdb
H2AZ1	DGIdb
IL13	DGIdb
NOS2	DGIdb
G6PD	DGIdb
CACNG7	DGIdb
SSTR5	DGIdb
FLT4	DGIdb
TUBB4B	DGIdb
CTSC	DGIdb
CYP3A5	DGIdb
DPH1	DGIdb
ADGRL3	DGIdb
CDKN2A	DGIdb
MTOR	DGIdb
FMO3	DGIdb
ABCA3	DGIdb
KLF5	DGIdb
DXO	DGIdb
FRA5D	DGIdb
CBLN1	DGIdb
CASP7	DGIdb
ADCYAP1	DGIdb
NRAS	DGIdb
KRAS	DGIdb
APOF	DGIdb
DRD3	DGIdb
A12M1	DGIdb
CSTF3	DGIdb
DPYS	DGIdb
RRM1	DGIdb
GRIN2C	DGIdb
GABRQ	DGIdb
BCL2	DGIdb
SLC29A1	DGIdb
F2R	DGIdb
GRIN1	DGIdb
GRIN3A	DGIdb
GAPDH	DGIdb
RACGAP1	DGIdb
TUBB8	DGIdb
JAK1	DGIdb
MAOB	DGIdb
EEF1D	DGIdb
IL23A	DGIdb
HSP90AB1	DGIdb
TOP1	DGIdb
C4BPAP2	DGIdb
CHRM5	DGIdb
FRA1L	DGIdb
CBX1	DGIdb
FANCC	DGIdb
GMNN	DGIdb
EYA4	DGIdb
SIRT1	DGIdb
KCNN2	DGIdb
GABRD	DGIdb
ALDH2	DGIdb
RAB9A	DGIdb
EFR3A	DGIdb
WBP2NL	DGIdb
MITF	DGIdb
MSTN	DGIdb
CACNB1	DGIdb
GNRHR	DGIdb
KDM4C	DGIdb
HSPB1	DGIdb
P2RY12	DGIdb
ABL1	DGIdb
BBS4	DGIdb
STAT3	DGIdb
CTAA1	DGIdb
A2MP1	DGIdb
GRIA3	DGIdb
AQP8	DGIdb
HTR3D	DGIdb
BRCA1	DGIdb
CHRM2	DGIdb
CCR2	DGIdb
DPYD	DGIdb
PRKD2	DGIdb
PIK3C2A	DGIdb
APOE	DGIdb
DPEP1	DGIdb
CACNA1C	DGIdb
RXRG	DGIdb
ACACA	DGIdb
HDAC8	DGIdb
F5	DGIdb
IDH2	DGIdb
INSR	DGIdb
SLC6A2	DGIdb
GABRG2	DGIdb
RELA	DGIdb
TUBB2B	DGIdb
CCL21	DGIdb
GFAP	DGIdb
PDE4A	DGIdb
SLC26A2	DGIdb
FGFR2	DGIdb
AURKC	DGIdb
RAPGEF3	DGIdb
GABRG3	DGIdb
OPRM1	DGIdb
CD40LG	DGIdb
TFAP2A	DGIdb
FAM178B	DGIdb
IL2RG	DGIdb
FSHR	DGIdb
OPRD1	DGIdb
ARSA	DGIdb
BIRC5	DGIdb
AOC1	DGIdb
ALB	DGIdb
ABCA4	DGIdb
RECQL	DGIdb
PIK3CG	DGIdb
CYP27A1	DGIdb
GDNF	DGIdb
POLH	DGIdb
ADCYAP1R1	DGIdb
TSPO	DGIdb
MUC16	DGIdb
ABCA1	DGIdb
CA9	DGIdb
SCN7A	DGIdb
CPT1B	DGIdb
ZNF816	DGIdb
TBXAS1	DGIdb
MAPK10	DGIdb
FMO2	DGIdb
TYK2	DGIdb
SENP8	DGIdb
RXRA	DGIdb
MGMT	DGIdb
ABCB1	DGIdb
STRBP	DGIdb
PIK3C3	DGIdb
ANK3	DGIdb
SSTR3	DGIdb
TP53	DGIdb
TUBB3	DGIdb
AMD1	DGIdb
APBB1	DGIdb
DRD1	DGIdb
TUBA1C	DGIdb
PRKAA1	DGIdb
ALCAM	DGIdb
CA2	DGIdb
ACTG1	DGIdb
TUBA1A	DGIdb
C9	DGIdb
GABRA6	DGIdb
POLB	DGIdb
SMN1	DGIdb
GLS	DGIdb
SLC25A4	DGIdb
DCC	DGIdb
HSP90AA2P	DGIdb
PRKCG	DGIdb
PTGIR	DGIdb
DCK	DGIdb
AMY1C	DGIdb
EEF1G	DGIdb
CDH13	DGIdb
TUBA4A	DGIdb
FRA2G	DGIdb
ARAF	DGIdb
ABCG1	DGIdb
CDC7	DGIdb
MTHFR	DGIdb
PTPRC	DGIdb
GABRA1	DGIdb
IL1B	DGIdb
TUBA3C	DGIdb
RIPK1	DGIdb
SCN11A	DGIdb
HPRT1	DGIdb
C1QA	DGIdb
ABCB7	DGIdb
ACVR1	DGIdb
AURKB	DGIdb
PTK2	DGIdb
PIK3CD	DGIdb
SHROOM2	DGIdb
ANXA4	DGIdb
NR1D1	DGIdb
CDK8	DGIdb
SCGB1A1	DGIdb
AXL	DGIdb
ATP3	DGIdb
PGR	DGIdb
TG	DGIdb
PALB2	DGIdb
PLA2G1B	DGIdb
KIR2DL2	DGIdb
PPARA	DGIdb
IL12B	DGIdb
DPP6	DGIdb
RPE65	DGIdb
DMP1	DGIdb
CCND1	DGIdb
PRKCB	DGIdb
CYCSP5	DGIdb
GFER	DGIdb
A2M	DGIdb
TUBA3E	DGIdb
APEX1	DGIdb
POLI	DGIdb
ERVW-4	DGIdb
CLK4	DGIdb
KCNH3	DGIdb
AREG	DGIdb
FFAR3	DGIdb
ANOP1	DGIdb
ANK2	DGIdb
SCN9A	DGIdb
TUBB	DGIdb
COMT	DGIdb
APBB2	DGIdb
CBL	DGIdb
ACAT1	DGIdb
CASP6	DGIdb
ACACB	DGIdb
ADAMTSL4-AS1	DGIdb
PIK3R3	DGIdb
TRHR	DGIdb
FOLR1	DGIdb
CDK4	DGIdb
GART	DGIdb
COL10A1	DGIdb
CDK1	DGIdb
IFNAR1	DGIdb
NNMT	DGIdb
CXCR1	DGIdb
CACNA1F	DGIdb
TGFB2	DGIdb
FRA5B	DGIdb
AMY2A	DGIdb
HLA-DRB3	DGIdb
MAPK8	DGIdb
ALPI	DGIdb
HOXA7	DGIdb
NAT2	DGIdb
HTR2C	DGIdb
PSENEN	DGIdb
NPC1	DGIdb
POLE2	DGIdb
FAS	DGIdb
ALPL	DGIdb
ARF5	DGIdb
SLC13A5	DGIdb
GRIK1	DGIdb
CP	DGIdb
SMAD4	DGIdb
NTRK1	DGIdb
ALOX12P2	DGIdb
UGT1A4	DGIdb
MPO	DGIdb
XDH	DGIdb
SCN1A	DGIdb
GABRB2	DGIdb
AMH	DGIdb
GRK3	DGIdb
APOC1	DGIdb
EPHB3	DGIdb
COL16A1	DGIdb
FRA11E	DGIdb
BCL7A	DGIdb
CIC	DGIdb
NR1H3	DGIdb
CYP2A6	DGIdb
NME2	DGIdb
TACR1	DGIdb
APOBEC3A	DGIdb
IL2	DGIdb
SCN2A	DGIdb
SRMS	DGIdb
AZF2	DGIdb
MAP3K9	DGIdb
HP	DGIdb
MPST	DGIdb
CSNK1G3	DGIdb
PIK3R2	DGIdb
IL2RA	DGIdb
RUNX1	DGIdb
MYO9B	DGIdb
MPHOSPH8	DGIdb
ALDH3A2	DGIdb
CXCR5	DGIdb
SLC22A11	DGIdb
NR1I2	DGIdb
SPSB2	DGIdb
CACNG5	DGIdb
CUL4A	DGIdb
FZD6	DGIdb
ANXA1	DGIdb
ALOX5	DGIdb
STAT1	DGIdb
FRA20B	DGIdb
LCK	DGIdb
GRM5	DGIdb
HTR2A	DGIdb
IFNL4	DGIdb
CDK6	DGIdb
HGF	DGIdb
FCGRT	DGIdb
CDH16	DGIdb
APOD	DGIdb
RBX1	DGIdb
H4C16	DGIdb
GSK3A	DGIdb
ALDH1A1	DGIdb
ADORA3	DGIdb
EYA1	DGIdb
RAD54L	DGIdb
CTNND1	DGIdb
SLCO2B1	DGIdb
CDKN1B	DGIdb
CDC25C	DGIdb
SCN5A	DGIdb
HDAC10	DGIdb
HDAC2	DGIdb
CHI3L2	DGIdb
GABRR1	DGIdb
CDK5	DGIdb
DR1	DGIdb
FANCG	DGIdb
MTRR	DGIdb
NTRK2	DGIdb
CACNG3	DGIdb
ARCN1	DGIdb
EFNA4	DGIdb
APH1A	DGIdb
PBRM1	DGIdb
BACE1	DGIdb
E2F1	DGIdb
MS4A1	DGIdb
CASP3	DGIdb
IL4	DGIdb
AHR	DGIdb
MAPK3	DGIdb
EIF4G1	DGIdb
ATF4P1	DGIdb
COL9A2	DGIdb
AANAT	DGIdb
RXFP2	DGIdb
IL17A	DGIdb
CHRNA7	DGIdb
ACTA1	DGIdb
FTH1P4	DGIdb
FCER1A	DGIdb
SAE1	DGIdb
CDKN1A	DGIdb
FAAH	DGIdb
CHRM3	DGIdb
ATR	DGIdb
F7	DGIdb
RPS6KA3	DGIdb
AIFM1	DGIdb
MARCKSL1	DGIdb
CHAT	DGIdb
CACNA1G	DGIdb
EFNA3	DGIdb
PRKCA	DGIdb
ADH1C	DGIdb
LGALS8	DGIdb
PLAU	DGIdb
TSHB	DGIdb
FKBP1A	DGIdb
BRCA2	DGIdb
HTR4	DGIdb
MKNK1	DGIdb
GNAQ	DGIdb
GNA11	DGIdb
ITGB1	DGIdb
KMT2A	DGIdb
NF1	DGIdb
LRP1B	DGIdb
STK11	DGIdb
EDNRA	DGIdb
TSC1	DGIdb
SLC12A3	DGIdb
SLC12A1	DGIdb
NULL	DGIdb
SLC5A2	DGIdb
CA4	DGIdb
GLP2R	DGIdb
TUBB2A	DGIdb
ALDH1B1	DGIdb
GRIN2B	DGIdb
GRIN2A	DGIdb
ADRA2C	DGIdb
CACNA1S	DGIdb
ARVD3	DGIdb
JAK2	DGIdb
COL6A3	DGIdb
COL4A4	DGIdb
MARK4	DGIdb
COL5A3	DGIdb
GABRA4	DGIdb
GABRA3	DGIdb
CACNA1E	DGIdb
CACNA1A	DGIdb
CACNA2D4	DGIdb
SCN4A	DGIdb
SCN8A	DGIdb
SCN3A	DGIdb
ADRA2B	DGIdb
MME	DGIdb
PDE4B	DGIdb
PSMB5	DGIdb
ADORA2B	DGIdb
PSMA6	DGIdb
PSMA5	DGIdb
HDAC6	DGIdb
PIK3CB	DGIdb
HDAC3	DGIdb
PRKACG	DGIdb
AKT3	DGIdb
PRKCH	DGIdb
FLT3	DGIdb
PIK3R1	DGIdb
FZD2	DGIdb
MLNR	DGIdb
FZD1	DGIdb
PLK4	DGIdb
PRKCZ	DGIdb
MAPK14	DGIdb
PRKD3	DGIdb
HCRTR2	DGIdb
SLC22A8	DGIdb
CNR1	DGIdb
CACNA1B	DGIdb
KCNA4	DGIdb
KCNC4	DGIdb
KCNQ5	DGIdb
KCNQ4	DGIdb
MMP12	DGIdb
CHRNA4	DGIdb
NGF	DGIdb
ERBB3	DGIdb
CD33	DGIdb
HTR6	DGIdb
TUBB1	DGIdb
KIF11	DGIdb
ERVK-20	DGIdb
GABRB3	DGIdb
CACNA2D1	DGIdb
CACNB4	DGIdb
CACNG4	DGIdb
CACNG8	DGIdb
HTR7	DGIdb
CD22	DGIdb
TNFRSF10B	DGIdb
FOLH1	DGIdb
HTR3C	DGIdb
CD44	DGIdb
SLAMF7	DGIdb
IRAK4	DGIdb
GUCY1B2	DGIdb
GRM3	DGIdb
TTR	DGIdb
BLOC1S6	DGIdb
ASGR1	DGIdb
GUCY1B1	DGIdb
LTA4H	DGIdb
ICOS	DGIdb
CD40	DGIdb
NPR2	DGIdb
TGFA	DGIdb
CTNNB1	DGIdb
MMP3	DGIdb
IL18R1	DGIdb
EEF2	DGIdb
IL10RB	DGIdb
S1PR2	DGIdb
CCND2	DGIdb
CCND3	DGIdb
AKT2	DGIdb
ELAVL1	DGIdb
IL12A	DGIdb
SERPINC1	DGIdb
PLK1	DGIdb
AQP9	DGIdb
SRC	DGIdb
OPRL1	DGIdb
KDM4E	DGIdb
NR1H2	DGIdb
MPI	DGIdb
NTRK3	DGIdb
SSTR1	DGIdb
GAA	DGIdb
ABCG2	DGIdb
MEN1	DGIdb
ABCC2	DGIdb
DNMT1	DGIdb
NCOA3	DGIdb
BCL2L1	DGIdb
AKR1C3	DGIdb
GALR3	DGIdb
GC	DGIdb
MINK1	DGIdb
BRD3	DGIdb
APOBEC3G	DGIdb
XBP1	DGIdb
PRKCE	DGIdb
HTT	DGIdb
TRPA1	DGIdb
L3MBTL1	DGIdb
STK3	DGIdb
KLRD1	DGIdb
CTDSP1	DGIdb
MAPK13	DGIdb
BLK	DGIdb
DUSP3	DGIdb
TUBB4A	DGIdb
TDP1	DGIdb
ERAP1	DGIdb
AKT1	DGIdb
CDC42BPA	DGIdb
CAMKK2	DGIdb
MT-RNR1	DGIdb
RET	DGIdb
FRK	DGIdb
PRKCQ	DGIdb
SUMO1	DGIdb
TUBA3D	DGIdb
LHCGR	DGIdb
FDPS	DGIdb
THPO	DGIdb
PIM3	DGIdb
LMNA	DGIdb
ACP1	DGIdb
DHRS9	DGIdb
MAP3K20	DGIdb
F2RL1	DGIdb
TSG101	DGIdb
RORC	DGIdb
LRRK2	DGIdb
ACE	DGIdb
CLK2	DGIdb
GRIN3B	DGIdb
ALOX15B	DGIdb
PKN2	DGIdb
AAMP	DGIdb
THRB	DGIdb
CSNK1G2	DGIdb
GSK3B	DGIdb
TSSK1B	DGIdb
SMAD2	DGIdb
RAPGEF4	DGIdb
SLK	DGIdb
CSNK1A1	DGIdb
HDAC5	DGIdb
TRPV1	DGIdb
CDK2	DGIdb
ADCY2	DGIdb
RPS6KA1	DGIdb
RXFP1	DGIdb
TARDBP	DGIdb
GCGR	DGIdb
UQCR10	DGIdb
NR2E3	DGIdb
HBB	DGIdb
HDAC4	DGIdb
APOBEC3F	DGIdb
CSNK1D	DGIdb
ITGB3	DGIdb
FXYD2	DGIdb
NPSR1	DGIdb
DDAH1	DGIdb
GCK	DGIdb
CDC42	DGIdb
MAP4K5	DGIdb
HDAC1	DGIdb
PDK1	DGIdb
PTGES	DGIdb
CALCRL	DGIdb
STK17A	DGIdb
FGB	DGIdb
NUCB1	DGIdb
CDK9	DGIdb
PTBP1	DGIdb
CHEK2	DGIdb
ABCC3	DGIdb
LYN	DGIdb
PIK3C2G	DGIdb
PIK3C2B	DGIdb
FLT1	DGIdb
MIR21	DGIdb
MAP2K6	DGIdb
PDGFRA	DGIdb
MAP2K7	DGIdb
WNT7A	DGIdb
VEGFC	DGIdb
AKR1B1	DGIdb
AGTR2	DGIdb
HOXD11	DGIdb
ANPEP	DGIdb
BCL6	DGIdb
FAH	DGIdb
BGLAP	DGIdb
CAMK2B	DGIdb
CALCA	DGIdb
PRL	DGIdb
CHST11	DGIdb
CISH	DGIdb
CYP1A1	DGIdb
CYP19A1	DGIdb
CYP1B1	DGIdb
CYP2B6	DGIdb
CYP3A43	DGIdb
DBP	DGIdb
DEFB4A	DGIdb
DTYMK	DGIdb
TYMS	DGIdb
ENO2	DGIdb
EMP1	DGIdb
ERCC1	DGIdb
FCGR3A	DGIdb
FCGR3B	DGIdb
GCLC	DGIdb
GHRL	DGIdb
GJA1	DGIdb
GNMT	DGIdb
MKNK2	DGIdb
GNRH1	DGIdb
GRP	DGIdb
GSR	DGIdb
GSTM1	DGIdb
IL1R1	DGIdb
GSTP1	DGIdb
IRS1	DGIdb
ITGAL	DGIdb
ITGAM	DGIdb
JUNB	DGIdb
UBE2I	DGIdb
ITGB2	DGIdb
KRT19	DGIdb
ATP4A	DGIdb
LCAT	DGIdb
LDLR	DGIdb
LIPC	DGIdb
MDH2	DGIdb
MMP1	DGIdb
NPR1	DGIdb
MLANA	DGIdb
F9	DGIdb
MUC2	DGIdb
MYC	DGIdb
MYB	DGIdb
NOS1	DGIdb
NPY	DGIdb
NRG1	DGIdb
OXTR	DGIdb
PLA2G2A	DGIdb
POU5F1	DGIdb
PRKCD	DGIdb
RBP3	DGIdb
CSNK2A1	DGIdb
SI	DGIdb
SLC2A4	DGIdb
SLC9A3	DGIdb
SLC6A3	DGIdb
SMOX	DGIdb
SRI	DGIdb
SPINT1	DGIdb
SRY	DGIdb
STAB2	DGIdb
SULT2A1	DGIdb
STS	DGIdb
ST14	DGIdb
TAT	DGIdb
TARP	DGIdb
TFPI	DGIdb
TGFB1	DGIdb
THBS1	DGIdb
THRSP	DGIdb
XIAP	DGIdb
WT1	DGIdb
CDK12	DGIdb
BLMH	DGIdb
REN	DGIdb
EPHX2	DGIdb
PARD3B	DGIdb
SLC28A1	DGIdb
CTLA4	DGIdb
CYP2J2	DGIdb
STK39	DGIdb
APOC3	DGIdb
CACNG2	DGIdb
STX11	DGIdb
UNC13D	DGIdb
GABRB1	DGIdb
UGT1A10	DGIdb
SLC28A3	DGIdb
ADH7	DGIdb
COL26A1	DGIdb
MOCS1	DGIdb
FCHSD1	DGIdb
DDIT4	DGIdb
DDX10	DGIdb
NEFM	DGIdb
RPTOR	DGIdb
PRSS3	DGIdb
CRHR1	DGIdb
NOD2	DGIdb
EPHX1	DGIdb
GAL	DGIdb
GRIK4	DGIdb
PLCB1	DGIdb
ITK	DGIdb
HLA-A	DGIdb
TPH1	DGIdb
SLC1A1	DGIdb
TXNRD2	DGIdb
HLA-B	DGIdb
TCF7L2	DGIdb
SLC22A1	DGIdb
CHPT1	DGIdb
ASIC2	DGIdb
SH2B1	DGIdb
RABEP1	DGIdb
REEP5	DGIdb
ESYT2	DGIdb
ALDH1L1	DGIdb
CHURC1	DGIdb
PDIA2	DGIdb
TPMT	DGIdb
HLA-DQA1	DGIdb
CDH15	DGIdb
UGT1A3	DGIdb
F3	DGIdb
CASR	DGIdb
SLCO1B1	DGIdb
CACNA2D3	DGIdb
UGT1A1	DGIdb
GLA	DGIdb
ATP2A3	DGIdb
ACE2	DGIdb
EYS	DGIdb
TLR5	DGIdb
ACAT2	DGIdb
AGBL4	DGIdb
GRID2	DGIdb
CHRNA6	DGIdb
HCP5	DGIdb
ARG1	DGIdb
CYP24A1	DGIdb
CEACAM5	DGIdb
BLVRB	DGIdb
EREG	DGIdb
ADAM33	DGIdb
BCHE	DGIdb
CES1	DGIdb
CCR5	DGIdb
UGT1A8	DGIdb
NUDT15	DGIdb
UGT2B15	DGIdb
PTGS2	DGIdb
CHRNA5	DGIdb
CHRNB1	DGIdb
NT5C3A	DGIdb
CYP2C18	DGIdb
FTO	DGIdb
ERICH3	DGIdb
ECT2L	DGIdb
CYP4X1	DGIdb
HNMT	DGIdb
NOS3	DGIdb
CBR1	DGIdb
ABCB4	DGIdb
CYP4F2	DGIdb
GPR35	DGIdb
SPG7	DGIdb
