gene	source
SULT2B1	DGIdb
UGT1A6	DGIdb
UGT1A7	DGIdb
HLA-C	DGIdb
SLCO2A1	DGIdb
CERS6	DGIdb
RGL4	DGIdb
HYKK	DGIdb
TNFRSF1B	DGIdb
SLC30A8	DGIdb
THRA	DGIdb
UGT2B7	DGIdb
UGT1A9	DGIdb
BCR	DGIdb
SIK3	DGIdb
SMAD7	DGIdb
PSORS1C1	DGIdb
WDR24	DGIdb
ST6GAL1	DGIdb
ADH1A	DGIdb
SULT1A3	DGIdb
LTC4S	DGIdb
GLCCI1	DGIdb
MOBP	DGIdb
AK4	DGIdb
EGLN2	DGIdb
PRORP	DGIdb
MLLT3	DGIdb
UGT1A5	DGIdb
GLT1D1	DGIdb
TNFRSF11A	DGIdb
PML	DGIdb
FGA	DGIdb
PTCH1	DGIdb
TNFSF11	DGIdb
IL15	DGIdb
DPP4	DGIdb
GHR	DGIdb
MC1R	DGIdb
MC4R	DGIdb
DRD4	DGIdb
CACNB3	DGIdb
MBP	DGIdb
INHA	DGIdb
GRIA2	DGIdb
OLR1	DGIdb
SSTR2	DGIdb
MAPK9	DGIdb
ESR2	DGIdb
TNNC1	DGIdb
TNNC2	DGIdb
TNNI1	DGIdb
PTGER2	DGIdb
TNNI2	DGIdb
TNNT2	DGIdb
CD55	DGIdb
ICAM1	DGIdb
PDHA2	DGIdb
PDHA1	DGIdb
FGFR4	DGIdb
P2RX7	DGIdb
PDGFB	DGIdb
APP	DGIdb
ADORA1	DGIdb
PROCR	DGIdb
F8	DGIdb
CD248	DGIdb
PTGFR	DGIdb
RARA	DGIdb
IGF1	DGIdb
IFNLR1	DGIdb
IFNAR2	DGIdb
LIG1	DGIdb
SPHK2	DGIdb
GP6	DGIdb
S1PR1	DGIdb
ITGA4	DGIdb
CALCR	DGIdb
CD3E	DGIdb
XK	DGIdb
CCKBR	DGIdb
EGF	DGIdb
CHRNB4	DGIdb
HTR1B	DGIdb
TLR8	DGIdb
GABRR3	DGIdb
UGCG	DGIdb
GNRHR2	DGIdb
EPOR	DGIdb
KCNJ1	DGIdb
PDE3A	DGIdb
CHRNA2	DGIdb
SCTR	DGIdb
HRH2	DGIdb
DRD5	DGIdb
CA1	DGIdb
ACHE	DGIdb
AVPR2	DGIdb
ABAT	DGIdb
CD80	DGIdb
RRM2	DGIdb
CHRNA1	DGIdb
DDC	DGIdb
CETP	DGIdb
F11	DGIdb
CD47	DGIdb
GLRB	DGIdb
PRMT5	DGIdb
IDO1	DGIdb
PDE7B	DGIdb
XPO1	DGIdb
EZH2	DGIdb
RHO	DGIdb
TF	DGIdb
JAK3	DGIdb
S100A12	DGIdb
HK2	DGIdb
VDAC1	DGIdb
PPM1A	DGIdb
PPP2CA	DGIdb
AOC3	DGIdb
PTPN1	DGIdb
GCG	DGIdb
GLUL	DGIdb
SERPINA1	DGIdb
IFNA2	DGIdb
IL1R2	DGIdb
PTGER4	DGIdb
MCHR1	DGIdb
BSG	DGIdb
HDC	DGIdb
OPN4	DGIdb
HR	DGIdb
ITGB8	DGIdb
KDM5A	DGIdb
AADAT	DGIdb
EGLN1	DGIdb
S1PR3	DGIdb
DPP7	DGIdb
ZAP70	DGIdb
SRD5A3	DGIdb
TMPRSS15	DGIdb
ERN1	DGIdb
HCK	DGIdb
PSIP1	DGIdb
SRD5A1	DGIdb
HPN	DGIdb
FURIN	DGIdb
AVPR1B	DGIdb
PTPRD	DGIdb
SIRT2	DGIdb
PDE3B	DGIdb
DDR1	DGIdb
IFNGR2	DGIdb
CTRC	DGIdb
BUB1	DGIdb
SLC46A1	DGIdb
PDE4D	DGIdb
F2	DGIdb
LGMN	DGIdb
KCNA5	DGIdb
CNR2	DGIdb
SPTBN1	DGIdb
IFNB1	DGIdb
TBXA2R	DGIdb
ADORA2A	DGIdb
KCNK2	DGIdb
TRPV4	DGIdb
KCNK3	DGIdb
IL11RA	DGIdb
KCNK9	DGIdb
CNGA1	DGIdb
TLR2	DGIdb
LTF	DGIdb
CSF2RB	DGIdb
TGFBR1	DGIdb
SERPINF1	DGIdb
TYMP	DGIdb
ADAM17	DGIdb
PTGDR	DGIdb
METAP2	DGIdb
HMBS	DGIdb
TUSC2	DGIdb
TYR	DGIdb
RAB4B-EGLN2	DGIdb
CA6	DGIdb
CA12	DGIdb
TUB	DGIdb
MAGEA3	DGIdb
TFF2	DGIdb
AURKA	DGIdb
CDK3	DGIdb
SST	DGIdb
CDK15	DGIdb
ATM	DGIdb
CCNB1	DGIdb
EPHA2	DGIdb
SLC25A20	DGIdb
CDK17	DGIdb
BRD4	DGIdb
CLC	DGIdb
CDK18	DGIdb
HRH4	DGIdb
CD3G	DGIdb
EPCAM	DGIdb
SERPINE1	DGIdb
LPA	DGIdb
EPO	DGIdb
CXCL10	DGIdb
CDK7	DGIdb
TRPV3	DGIdb
IL4R	DGIdb
APOA1	DGIdb
CD79B	DGIdb
MPL	DGIdb
P2RX3	DGIdb
GRIA4	DGIdb
TPO	DGIdb
CDK10	DGIdb
CDK16	DGIdb
INS	DGIdb
VEGFA	DGIdb
PCSK9	DGIdb
NPY2R	DGIdb
NPY4R	DGIdb
SDC1	DGIdb
CD19	DGIdb
TNFRSF8	DGIdb
ERBB4	DGIdb
MSLN	DGIdb
TNFRSF17	DGIdb
IL3RA	DGIdb
CD34	DGIdb
CD38	DGIdb
ROR2	DGIdb
CTAG1B	DGIdb
PMEL	DGIdb
TEK	DGIdb
MMP9	DGIdb
GH1	DGIdb
CYSLTR1	DGIdb
CCL11	DGIdb
SMO	DGIdb
IFNG	DGIdb
GRM2	DGIdb
DGAT1	DGIdb
MGAT2	DGIdb
DGAT2	DGIdb
MBOAT4	DGIdb
BIRC2	DGIdb
MAP4K2	DGIdb
MAP3K19	DGIdb
TBK1	DGIdb
STAT5A	DGIdb
HCRTR1	DGIdb
SETD2	DGIdb
VHL	DGIdb
SLC52A1	DGIdb
DNASE1L3	DGIdb
FABP5	DGIdb
FABP4	DGIdb
IDO2	DGIdb
TDO2	DGIdb
KMO	DGIdb
PDE2A	DGIdb
DNMT3A	DGIdb
DNMT3L	DGIdb
EIF2AK3	DGIdb
HRH3	DGIdb
ROS1	DGIdb
TXNRD1	DGIdb
CTSK	DGIdb
CTSS	DGIdb
CTSL	DGIdb
CTSB	DGIdb
ROCK1	DGIdb
ROCK2	DGIdb
TMEM97	DGIdb
SIGMAR1	DGIdb
PRCP	DGIdb
DYRK1A	DGIdb
DYRK2	DGIdb
DYRK1B	DGIdb
DYRK3	DGIdb
MMP13	DGIdb
SLC6A9	DGIdb
GRIK5	DGIdb
ATP5IF1	DGIdb
PDCD1	DGIdb
CSF2RA	DGIdb
IL1A	DGIdb
MARCHF8	DGIdb
IMPDH1	DGIdb
LAG3	DGIdb
CCR9	DGIdb
CASP2	DGIdb
IL7R	DGIdb
CASP12	DGIdb
SNCA	DGIdb
TAAR1	DGIdb
KLRC1	DGIdb
SGPL1	DGIdb
OCA2	DGIdb
BDKRB1	DGIdb
POLA2	DGIdb
CD28	DGIdb
POLD2	DGIdb
CSF3	DGIdb
MUC5AC	DGIdb
ITGAV	DGIdb
A12M2	DGIdb
IL13RA2	DGIdb
SERPINA3	DGIdb
ENG	DGIdb
CREB1	DGIdb
FRA10F	DGIdb
HBEGF	DGIdb
GNA12	DGIdb
ABCF1	DGIdb
BEVI	DGIdb
ACADM	DGIdb
CD69	DGIdb
ABO	DGIdb
ACAA1	DGIdb
EFNA1	DGIdb
EFNB2	DGIdb
ASIC1	DGIdb
BDKRB2	DGIdb
CPN1	DGIdb
CYP27B1	DGIdb
DAZ1	DGIdb
ATP6V0B	DGIdb
FOLR2	DGIdb
ACTA2	DGIdb
ACTB	DGIdb
CCR4	DGIdb
EGR3	DGIdb
CPT2	DGIdb
ALAS2	DGIdb
FCER2	DGIdb
EGR4	DGIdb
EIF4A1	DGIdb
EIF4EBP1	DGIdb
CPB2	DGIdb
CYP2A13	DGIdb
CSHL1	DGIdb
CRIP1	DGIdb
DHODH	DGIdb
ABCD1	DGIdb
ALDH3A1	DGIdb
FRZB	DGIdb
EN2	DGIdb
BLVRA	DGIdb
CRP	DGIdb
ABCD2	DGIdb
DPYSL2	DGIdb
DPYSL3	DGIdb
GAPDHP67	DGIdb
SLC26A3	DGIdb
ONECUT1	DGIdb
ALDH3B2	DGIdb
ALDH9A1	DGIdb
APOC2	DGIdb
ARNT	DGIdb
CD14	DGIdb
GUCY1A2	DGIdb
ASS1P2	DGIdb
CLDN18	DGIdb
ASS1P8	DGIdb
ASS1P14	DGIdb
DLX3	DGIdb
GDF2	DGIdb
GAPDHP1	DGIdb
GARS1	DGIdb
GDF9	DGIdb
GAS1	DGIdb
GPLD1	DGIdb
GMFA	DGIdb
PRDM1	DGIdb
ADARB2	DGIdb
ADCY3	DGIdb
XCR1	DGIdb
CSNK2A2	DGIdb
CMR3A	DGIdb
CRK	DGIdb
FOXL2	DGIdb
DPT	DGIdb
ATP5ME	DGIdb
ARF6	DGIdb
ASNSP2	DGIdb
CALM1	DGIdb
AZGP1	DGIdb
FRA10D	DGIdb
CTSV	DGIdb
EPS8	DGIdb
IGHE	DGIdb
GDI2	DGIdb
GEM	DGIdb
ERVT5	DGIdb
ANCR	DGIdb
AMY2B	DGIdb
ANG	DGIdb
ANK1	DGIdb
PGF	DGIdb
CSF1	DGIdb
AARS1	DGIdb
AAVS1	DGIdb
TNFRSF4	DGIdb
BAK1	DGIdb
NKX3-2	DGIdb
TFRC	DGIdb
BBS2	DGIdb
DLX5	DGIdb
IFNA1	DGIdb
ATF4	DGIdb
EVC	DGIdb
AQP5	DGIdb
DNAH9	DGIdb
NMUR1	DGIdb
MTNR1A	DGIdb
APBA1	DGIdb
ANXA7	DGIdb
P2RY1	DGIdb
SLCO1A2	DGIdb
SLCO1C1	DGIdb
APC	DGIdb
APLP2	DGIdb
HPRTP1	DGIdb
SLC15A2	DGIdb
BCKDHB	DGIdb
BCKDHA	DGIdb
ATP4B	DGIdb
F7R	DGIdb
COL19A1	DGIdb
COL7A1	DGIdb
COL12A1	DGIdb
RNF130	DGIdb
NBEAP1	DGIdb
FXN	DGIdb
FRA4A	DGIdb
H1-2	DGIdb
BAK1P1	DGIdb
CX3CR1	DGIdb
TEX28	DGIdb
CYB5P1	DGIdb
DYT7	DGIdb
CXADR	DGIdb
CUX1	DGIdb
AMY1A	DGIdb
AMY1B	DGIdb
FAU	DGIdb
GBE1	DGIdb
CD9	DGIdb
FASLG	DGIdb
AQP2	DGIdb
SARDH	DGIdb
PSMB7	DGIdb
TLX2	DGIdb
H1-5	DGIdb
PSMD4	DGIdb
AQP6	DGIdb
FRA8C	DGIdb
PSMD12	DGIdb
ATP2B2	DGIdb
TRPM8	DGIdb
PSMD1	DGIdb
ATP5F1A	DGIdb
ATP5F1BP1	DGIdb
PSMB8	DGIdb
ARCN2	DGIdb
PSMB1	DGIdb
ANXA5	DGIdb
PTGER1	DGIdb
CCNE1	DGIdb
NPM1	DGIdb
APH1B	DGIdb
RPL15	DGIdb
RPS20	DGIdb
RPL5	DGIdb
RPL10	DGIdb
MSH6	DGIdb
ARID1A	DGIdb
NF2	DGIdb
POLA1	DGIdb
POLD3	DGIdb
E2F7	DGIdb
EML4	DGIdb
CA5A	DGIdb
MLH1	DGIdb
MSH2	DGIdb
MSH3	DGIdb
CA5B	DGIdb
TACSTD2	DGIdb
PMS2	DGIdb
POLE	DGIdb
RB1	DGIdb
LAMC2	DGIdb
TLR9	DGIdb
TAS2R46	DGIdb
KCNQ3	DGIdb
ATP5F1C	DGIdb
ESRRG	DGIdb
MMP14	DGIdb
ATF1	DGIdb
PDE9A	DGIdb
GYPA	DGIdb
SNAP25	DGIdb
ADAM10	DGIdb
MGAM	DGIdb
GPR84	DGIdb
RXRB	DGIdb
EXTL3	DGIdb
HLA-DRB1	DGIdb
AMPD3	DGIdb
MLKL	DGIdb
CACNB2	DGIdb
ATP5BL2	DGIdb
GCKR	DGIdb
ALDH1A3	DGIdb
GM2A	DGIdb
COL27A1	DGIdb
CCDC148	DGIdb
ETFB	DGIdb
ACTBP2	DGIdb
ACTG1P8	DGIdb
ACTBP8	DGIdb
GPR15	DGIdb
ANGPT1	DGIdb
DHFRP3	DGIdb
PTPN22	DGIdb
GRM8	DGIdb
CTPS1	DGIdb
NR4A2	DGIdb
EIF4E	DGIdb
EMD	DGIdb
EPHA8	DGIdb
ATP6V1E1	DGIdb
CCL22	DGIdb
CGA	DGIdb
PDE4C	DGIdb
ALDH5A1	DGIdb
GNAI2P1	DGIdb
FUT4	DGIdb
NPPC	DGIdb
PAK1	DGIdb
MICB	DGIdb
ATP2A2	DGIdb
BAX	DGIdb
GNB3	DGIdb
RAMP1	DGIdb
CNC2	DGIdb
CDC6	DGIdb
TRPV5	DGIdb
RAC1	DGIdb
PTH	DGIdb
TRPV6	DGIdb
BAAT	DGIdb
ADA	DGIdb
FGF2	DGIdb
EYA3	DGIdb
WRN	DGIdb
PROC	DGIdb
DTNA	DGIdb
COL1A2	DGIdb
KCND2	DGIdb
BRSK1	DGIdb
ERVT4	DGIdb
MARK2	DGIdb
ATP1B1P1	DGIdb
ATXN1L	DGIdb
ACTBP9	DGIdb
GATA2	DGIdb
GSTT1	DGIdb
NTNG1	DGIdb
UTS2R	DGIdb
APOBER1	DGIdb
CYP2C8	DGIdb
FZD7	DGIdb
ASRGL1	DGIdb
CCL7	DGIdb
IGFBP1	DGIdb
THY1	DGIdb
GSTA1	DGIdb
CAST	DGIdb
NFIB	DGIdb
CHD4	DGIdb
NKX2-5	DGIdb
PSMC4	DGIdb
ANXA13	DGIdb
FSHMD1B	DGIdb
GNAI2	DGIdb
PTGDR2	DGIdb
PARP3	DGIdb
RAF1	DGIdb
ARHGAP4	DGIdb
TNFSF12	DGIdb
MAP2K4	DGIdb
CSRP2	DGIdb
SCD	DGIdb
POLD4	DGIdb
TRPM5	DGIdb
NFKB2	DGIdb
CPB1	DGIdb
APBA2	DGIdb
CDK11B	DGIdb
BCHEL3	DGIdb
PTPN7	DGIdb
COL4A1	DGIdb
CD27	DGIdb
BCYRN1P2	DGIdb
PAX8	DGIdb
IL23R	DGIdb
HDAC7	DGIdb
NOTCH1	DGIdb
ALDOA	DGIdb
CHEK1	DGIdb
FASN	DGIdb
FCGR2B	DGIdb
CHST1	DGIdb
SERPINH1	DGIdb
EPHB1	DGIdb
CBFB	DGIdb
CTBP2	DGIdb
PSMB3P1	DGIdb
PKM	DGIdb
RARB	DGIdb
SLC30A9	DGIdb
NR4A1	DGIdb
RORA	DGIdb
CCL3	DGIdb
ANXA11	DGIdb
PRKG1	DGIdb
BAD	DGIdb
BPGM	DGIdb
DUSP6	DGIdb
AMHR2	DGIdb
HNF4A	DGIdb
NOTCH2	DGIdb
RAD50	DGIdb
CA13	DGIdb
ABCC8	DGIdb
COL4A6	DGIdb
COL11A1	DGIdb
CHRND	DGIdb
PRIM1	DGIdb
CCL18	DGIdb
KCNJ2	DGIdb
PSMB9	DGIdb
PSMA1	DGIdb
PSMB11	DGIdb
PSMD7	DGIdb
PDPK1	DGIdb
KCNH1	DGIdb
PMP22	DGIdb
IKBKB	DGIdb
MYL4	DGIdb
PNP	DGIdb
BCL2A1	DGIdb
CALCB	DGIdb
TGFB3	DGIdb
LINGO1	DGIdb
FN1	DGIdb
ICOSLG	DGIdb
IFNA10	DGIdb
IFNA13	DGIdb
NCAM1	DGIdb
IFNA14	DGIdb
HTR3B	DGIdb
LY6E	DGIdb
LTB4R2	DGIdb
CD3D	DGIdb
ECE1	DGIdb
PIKFYVE	DGIdb
HSD11B1	DGIdb
ALOX5AP	DGIdb
CACNA2D2	DGIdb
TACR3	DGIdb
ADAMTS5	DGIdb
HSF1	DGIdb
SENP7	DGIdb
EYA2	DGIdb
SLC5A7	DGIdb
CASP1	DGIdb
NR1I3	DGIdb
NCOR2	DGIdb
GNAS	DGIdb
HDAC11	DGIdb
ERG	DGIdb
MAP4K4	DGIdb
TNK2	DGIdb
MST1R	DGIdb
FPR2	DGIdb
ABCC4	DGIdb
PIN1	DGIdb
PSMB2	DGIdb
KAT2B	DGIdb
LTK	DGIdb
CAMK2A	DGIdb
LDHA	DGIdb
PRKAA2	DGIdb
PRKAB1	DGIdb
PRKAG2	DGIdb
MBNL1	DGIdb
PIM1	DGIdb
GLRA1	DGIdb
SRPK1	DGIdb
SIRT5	DGIdb
GALNS	DGIdb
ADK	DGIdb
AFP	DGIdb
CBS	DGIdb
CD1A	DGIdb
CD58	DGIdb
CD5	DGIdb
CKM	DGIdb
CGB5	DGIdb
CHUK	DGIdb
CRH	DGIdb
HPSE	DGIdb
CCN2	DGIdb
CX3CL1	DGIdb
CYP2E1	DGIdb
ALOX12	DGIdb
FST	DGIdb
NTSR1	DGIdb
GGT1	DGIdb
H2AC25	DGIdb
HK1	DGIdb
HMOX1	DGIdb
HSPA4	DGIdb
IBSP	DGIdb
IL10	DGIdb
IL11	DGIdb
IL18	DGIdb
LGALS2	DGIdb
LIF	DGIdb
MT2A	DGIdb
NOP2	DGIdb
NR5A1	DGIdb
NTF3	DGIdb
PHB2	DGIdb
PTHLH	DGIdb
SDF4	DGIdb
SLAMF1	DGIdb
TNFRSF1A	DGIdb
TP73	DGIdb
TPM3	DGIdb
TSPYL2	DGIdb
USP9Y	DGIdb
VIP	DGIdb
RPP30	DGIdb
SULT1A1	DGIdb
MDGA2	DGIdb
ZMPSTE24	DGIdb
TPH2	DGIdb
NELFCD	DGIdb
PCYT2	DGIdb
FGF22	DGIdb
ZDHHC3	DGIdb
METTL3	DGIdb
RIPOR2	DGIdb
METTL14	DGIdb
HPX	DGIdb
HLA-DQB1	DGIdb
NT5C	DGIdb
ATP5F1E	DGIdb
ADCY1	DGIdb
ICA1	DGIdb
OR52J3	DGIdb
CYB5R3	DGIdb
TRIB3	DGIdb
PEBP4	DGIdb
CMTM8	DGIdb
PSEN1	DGIdb
AMPD1	DGIdb
PURA	DGIdb
TSPYL1	DGIdb
CYP3A7	DGIdb
NOS1AP	DGIdb
CYP3A	DGIdb
ENOSF1	DGIdb
IGF2BP2	DGIdb
MMADHC	DGIdb
NEDD4L	DGIdb
TBL1XR1	DGIdb
TNFRSF11B	DGIdb
FNTB	DGIdb
CYSLTR2	DGIdb
ASS1	DGIdb
KLC1	DGIdb
TYMSOS	DGIdb
PROS1	DGIdb
TOMM40	DGIdb
CDX2	DGIdb
SOCS3	DGIdb
SLFN11	DGIdb
CDKAL1	DGIdb
SCNN1B	DGIdb
ADAMTS1	DGIdb
SLC7A5	DGIdb
SPP1	DGIdb
CES2	DGIdb
MUTYH	DGIdb
SLC10A1	DGIdb
C3	DGIdb
UGT2B10	DGIdb
HLA-DRB5	DGIdb
XRCC1	DGIdb
SLC22A2	DGIdb
HAS3	DGIdb
GNL3	DGIdb
CBR3	DGIdb
FOXO1	DGIdb
SELE	DGIdb
SLC28A2	DGIdb
HTR3A	DGIdb
APOA5	DGIdb
TLR3	DGIdb
DYNC2H1	DGIdb
IKBKG	DGIdb
HCG22	DGIdb
NAIP	DGIdb
PSMC2	DGIdb
SIRT7	DGIdb
BIRC3	DGIdb
BIRC6	DGIdb
PTH1R	DGIdb
BCL2L2-PABPN1	DGIdb
NEK2	DGIdb
IL13RA1	DGIdb
QPRT	DGIdb
NGFR	DGIdb
GHRHR	DGIdb
SELP	DGIdb
HPGDS	DGIdb
ALPG	DGIdb
CEL	DGIdb
CSF3R	DGIdb
PLA2G3	DGIdb
P2RY2	DGIdb
IFNGR1	DGIdb
SLC22A4	DGIdb
FCER1G	DGIdb
MS4A2	DGIdb
HIPK2	DGIdb
IGHG1	DGIdb
SLC18A2	DGIdb
GABBR1	DGIdb
GABBR2	DGIdb
IRAK1	DGIdb
KCNA1	DGIdb
DAPK3	DGIdb
VAMP1	DGIdb
ESRRA	DGIdb
CDH11	DGIdb
CREBBP	DGIdb
C1S	DGIdb
TNFRSF18	DGIdb
TRBV20OR9-2	DGIdb
OGA	DGIdb
TERC	DGIdb
MAGEC1	DGIdb
MAGEC2	DGIdb
TPBG	DGIdb
GABPA	DGIdb
RBP4	DGIdb
SLC33A1	DGIdb
LGALS1	DGIdb
PPID	DGIdb
ABCB11	DGIdb
PDE1B	DGIdb
RORB	DGIdb
ACVR1B	DGIdb
LTA	DGIdb
CSNK1G1	DGIdb
PRLR	DGIdb
SUPT16H	DGIdb
NCOA1	DGIdb
PTH2R	DGIdb
TOP2B	DGIdb
IL6ST	DGIdb
MT-CO3	DGIdb
FFAR1	DGIdb
REG3A	DGIdb
PCLAF	DGIdb
CYP11A1	DGIdb
PDF	DGIdb
CELA1	DGIdb
ELANE	DGIdb
HTR1E	DGIdb
CCKAR	DGIdb
NPY5R	DGIdb
MCM8	DGIdb
SERPINA6	DGIdb
KCNT1	DGIdb
LAMB3	DGIdb
HSPA5	DGIdb
CCR1	DGIdb
SLC5A4	DGIdb
PRDX5	DGIdb
CYP11B1	DGIdb
CPS1	DGIdb
GPA33	DGIdb
HSPA1A	DGIdb
LPL	DGIdb
DMD	DGIdb
PAH	DGIdb
MAP3K5	DGIdb
SLC3A2	DGIdb
GATA4	DGIdb
SPHK1	DGIdb
KLF4	DGIdb
MALAT1	DGIdb
HSPA8	DGIdb
HTR5A	DGIdb
MYLK	DGIdb
HTR1F	DGIdb
EBP	DGIdb
GTF2E1	DGIdb
TK1	DGIdb
ITGB7	DGIdb
SGCA	DGIdb
PTPRB	DGIdb
CAPN2	DGIdb
APCS	DGIdb
IL25	DGIdb
ZUP1	DGIdb
CTSG	DGIdb
GLI1	DGIdb
BRDT	DGIdb
BRD2	DGIdb
MAPK7	DGIdb
KDM1B	DGIdb
SLC22A12	DGIdb
NFKBIA	DGIdb
PBK	DGIdb
NT5E	DGIdb
LIMK1	DGIdb
MGLL	DGIdb
ABHD6	DGIdb
DAGLA	DGIdb
GPBAR1	DGIdb
NRP1	DGIdb
MMP7	DGIdb
SLC9A1	DGIdb
FRA16E	DGIdb
E11S	DGIdb
CNN1	DGIdb
CSTP1	DGIdb
AAK1	DGIdb
ACADSB	DGIdb
BST2	DGIdb
CMR1A	DGIdb
BTC	DGIdb
BMP2K	DGIdb
EFNA2	DGIdb
HOXB@	DGIdb
C3AR1	DGIdb
GLUD1P3	DGIdb
DBIP1	DGIdb
ACP5	DGIdb
FNTBL1	DGIdb
ACRV1	DGIdb
ACTBP3	DGIdb
H1-6	DGIdb
GNG4	DGIdb
GYPC	DGIdb
CMA1	DGIdb
CNA1	DGIdb
DUSP1	DGIdb
GBX1	DGIdb
EML1	DGIdb
GTF2IP1	DGIdb
APOC1P1	DGIdb
EN1	DGIdb
BDH1	DGIdb
BCL5	DGIdb
CBLB	DGIdb
CCR10	DGIdb
BMAL1	DGIdb
ARRB2	DGIdb
ARRB1	DGIdb
ARSF	DGIdb
ALOX12P1	DGIdb
BDM	DGIdb
ASS1P10	DGIdb
AOAH	DGIdb
ADCY6	DGIdb
ADCY8	DGIdb
ADD3	DGIdb
ADFN	DGIdb
EPHA7	DGIdb
ZFP36L2	DGIdb
ZFP36L1	DGIdb
EPHB2	DGIdb
GPR42	DGIdb
CD68	DGIdb
GPR26	DGIdb
GPM6B	DGIdb
ARF4P1	DGIdb
ARG2	DGIdb
KCNJ8	DGIdb
BAG1	DGIdb
ALDH7A1P3	DGIdb
KIF1A	DGIdb
ALDH7A1P2	DGIdb
CYP2F1	DGIdb
SLC25A5	DGIdb
ANTP2	DGIdb
